review_id,review_text,sentiment
1,"This is simply the best product available on the market."
2,"It broke on the first use and I do not recommend it."
3,"This phenomenal product completely changed my life!"
4,"Terrible durability. Cheaply made."
5,"This is a huge disappointment and I cannot recommend it."
6,"I am absolutely in love with this perfect product!"
7,"This broken product is useless junk and I demand a replacement."
8,"The item is acceptable and matches its description."
9,"It functions as described in the product listing."
10,"This fantastic product makes me incredibly happy!"
11,"The product functions as intended."
12,"This is a really good product that works well."
13,"This extremely poor quality product broke immediately."
14,"This is a dreadful product was a complete waste of money."
15,"It arrived on the expected delivery date."
16,"This product is completely useless."
17,"This is a solid and reliable product."
18,"I am totally amazed by this wonderfully valuable product."
19,"This is the worst product I have ever owned."
20,"The quality of this product is outstanding and perfect."
